Wavelength (nm),Pixel values
175.3545684814453,299.3270000000001
175.9578857421875,299.9570000000001
176.56118774414062,314.00700000000006
177.16445922851562,319.9870000000001
177.76771545410156,309.03700000000003
178.37094116210938,332.4570000000001
178.9741668701172,325.40700000000004
179.5773468017578,316.6970000000001
180.1804962158203,316.4770000000001
180.78363037109375,343.49700000000007
181.38674926757812,324.1870000000001
181.98983764648438,336.5670000000001
182.59291076660156,312.4570000000001
183.19595336914062,332.99700000000007
183.7989501953125,315.1070000000001
184.40194702148438,326.55700000000013
185.00494384765625,367.4770000000001
185.60787963867188,385.9870000000001
186.2108154296875,375.4370000000001
186.813720703125,410.29700000000014
187.4165802001953,372.8670000000001
188.01943969726562,377.88700000000006
188.6222686767578,356.66700000000014
189.22508239746094,357.64700000000005
189.82785034179688,394.53700000000003
190.4306182861328,374.6970000000001
191.0333709716797,398.5770000000001
191.63607788085938,381.28700000000003
192.23876953125,369.55700000000013
192.8414306640625,391.3170000000001
193.44406127929688,378.2170000000001
194.04669189453125,401.62700000000007
194.64927673339844,362.8670000000001
195.25186157226562,352.9870000000001
195.85440063476562,371.9770000000001
196.45692443847656,372.88700000000006
197.05941772460938,358.25700000000006
197.6619110107422,363.27700000000004
198.2643585205078,380.03700000000003
198.86679077148438,376.0770000000001
199.4691925048828,370.5770000000001
200.07156372070312,384.3570000000001
200.67391967773438,392.8370000000001
201.27626037597656,431.38700000000006
201.87855529785156,447.40700000000004
202.4808349609375,470.87700000000007
203.08311462402344,496.24700000000007
203.6853485107422,536.267
204.2875518798828,630.647
204.88973999023438,641.5070000000001
205.4918975830078,674.557
206.0940399169922,745.317
206.69615173339844,783.8670000000002
207.29824829101562,843.6270000000002
207.9003143310547,905.267
208.50234985351562,992.267
209.1043701171875,1080.007
209.70635986328125,1227.4170000000001
210.308349609375,1326.6270000000002
210.91029357910156,1483.6170000000002
211.51220703125,1645.807
212.11412048339844,1810.497
212.71597290039062,1935.577
213.3178253173828,2048.4970000000003
213.91964721679688,2138.817
214.52145385742188,2212.447
215.12322998046875,2137.0470000000005
215.7249755859375,1978.3970000000002
216.32672119140625,1580.557
216.9284210205078,1271.097
217.53009033203125,1496.487
218.13174438476562,2376.057
218.73336791992188,3490.7470000000003
219.3349609375,4463.507
219.93653869628906,5205.117
220.53810119628906,5704.5869999999995
221.13963317871094,6139.6669999999995
221.7411346435547,6563.557
222.34262084960938,6880.637
222.94407653808594,7259.007
223.54551696777344,7621.077
224.14691162109375,8045.407
224.74830627441406,8375.887
225.3496551513672,8776.887
225.95098876953125,9159.797
226.5522918701172,9539.627
227.15359497070312,9839.017000000002
227.75485229492188,10166.167000000001
228.35609436035156,10486.687
228.95729064941406,10848.477
229.5584716796875,11250.187
230.15963745117188,11615.307
230.76077270507812,12112.767000000002
231.3618621826172,12538.597000000002
231.96295166015625,13037.427000000001
232.56402587890625,13563.497000000001
233.16505432128906,13871.297
233.76605224609375,14285.157000000001
234.36703491210938,14480.897
234.96800231933594,14683.817000000001
235.56893920898438,14801.707
236.1698455810547,14794.097000000002
236.77073669433594,14767.517000000002
237.37158203125,14736.047
237.97242736816406,14599.477
238.5732421875,14592.107
239.17401123046875,14460.447
239.7747802734375,14387.057
240.37551879882812,14249.547
240.97622680664062,14165.427000000001
241.57691955566406,13969.957
242.1775665283203,13822.877
242.7781982421875,13760.617
243.37881469726562,13505.397
243.97938537597656,13317.467
244.57994079589844,13098.227
245.18048095703125,12851.057
245.78097534179688,12650.387
246.38145446777344,12558.737000000001
246.98190307617188,12443.507000000001
247.58233642578125,12452.457
248.18275451660156,12576.597000000002
248.7831268310547,12754.267000000002
249.38348388671875,13011.137
249.98382568359375,13340.777
250.5841064453125,13779.277
251.18441772460938,14200.397
251.78466796875,14728.267000000002
252.3848876953125,15285.597000000002
252.98509216308594,15811.057
253.5852508544922,16259.837000000001
254.18540954589844,16843.096999999998
254.7855224609375,17230.396999999997
255.38563537597656,17603.686999999998
255.98570251464844,17935.047
256.5857238769531,18248.857
257.1857604980469,18454.047
257.7857666015625,18574.627
258.3857116699219,18520.916999999998
258.98565673828125,18550.057
259.5855712890625,18472.367
260.18548583984375,18273.287
260.7853698730469,17987.627
261.3852233886719,17808.137
261.9850158691406,17836.576999999997
262.5848083496094,17842.117
263.1845703125,17974.217
263.7843017578125,18003.367
264.3840026855469,18068.576999999997
264.98370361328125,18028.047
265.5833740234375,17704.957
266.1829833984375,17486.957
266.7825927734375,17211.627
267.3821716308594,16874.896999999997
267.9817199707031,16613.137
268.58123779296875,16371.287000000002
269.1807556152344,16164.787000000002
269.78021240234375,15958.677000000001
270.3796691894531,15883.397
270.9790954589844,15864.337000000001
271.5784912109375,15790.997000000001
272.1778564453125,16084.887
272.7772216796875,16306.317000000001
273.37652587890625,16715.427
273.975830078125,17108.867
274.5750732421875,17494.047
275.17431640625,17928.567
275.7735595703125,18309.887
276.3727722167969,18649.436999999998
276.971923828125,19016.826999999997
277.571044921875,19237.277
278.1701354980469,19514.767
278.76922607421875,19761.207
279.3682861328125,19861.997
279.9673156738281,20041.717
280.56634521484375,20084.457
281.165283203125,20202.277
281.7642517089844,20147.197
282.3631896972656,20127.727
282.9620666503906,20079.416999999998
283.5609436035156,20013.307
284.1597900390625,19901.767
284.7586364746094,19861.617
285.357421875,19773.907
285.9562072753906,19592.697
286.5549011230469,19317.146999999997
287.1536560058594,18858.717
287.7523193359375,18300.747
288.3509521484375,17630.477
288.9495849609375,17042.817
289.5481872558594,16821.047
290.14678955078125,17080.957
290.7453308105469,17531.247
291.3438415527344,17710.486999999997
291.9423522949219,17825.277
292.5408020019531,17710.697
293.1392822265625,17483.447
293.7377014160156,17217.047
294.3360595703125,16882.317
294.9344482421875,16667.817
295.5327453613281,16246.587000000001
296.1310729980469,15760.557
296.7293701171875,15080.487000000001
297.3276062011719,14495.737000000001
297.9258117675781,14749.457
298.5240173339844,15459.837000000001
299.1222229003906,15959.627
299.7203369140625,16312.827
300.3185119628906,16450.267
300.9165954589844,16599.287
301.5146484375,16724.887
302.1127014160156,16897.517
302.710693359375,16931.596999999998
303.3086853027344,17080.256999999998
303.9066467285156,17235.787
304.50457763671875,17156.436999999998
305.10247802734375,17161.377
305.7003479003906,17233.027
306.2982177734375,17136.337
306.8960266113281,17040.587
307.4938049316406,16854.297
308.09161376953125,16660.287
308.6893615722656,16434.936999999998
309.28704833984375,16236.417
309.8847351074219,15924.507000000001
310.482421875,15813.847000000002
311.0800476074219,15735.517000000002
311.6776428222656,15894.807
312.27520751953125,16017.327
312.87274169921875,16181.146999999999
313.47027587890625,16118.107000000002
314.0677795410156,16029.797
314.66522216796875,15939.057
315.2626647949219,15655.467
315.8600769042969,15378.027
316.45745849609375,15102.007000000001
317.0548095703125,14861.127
317.6521301269531,14840.977
318.24945068359375,14803.677000000001
318.8467102050781,14892.897
319.4439697265625,15026.097000000002
320.0411682128906,14936.927000000001
320.63836669921875,14808.007000000001
321.2355041503906,14765.527
321.8326416015625,14588.167000000001
322.42974853515625,14422.017000000002
323.0268249511719,14293.637
323.6238708496094,14185.467
324.22088623046875,13824.657000000001
324.81787109375,13712.477
325.41485595703125,13423.537
326.0118103027344,13161.467
326.6087341308594,12941.077000000001
327.20562744140625,12653.947
327.8024597167969,12396.187
328.3992919921875,12180.577000000001
328.99609375,11951.027
329.5928649902344,11682.707
330.1896057128906,11475.597000000002
330.78631591796875,11233.547
331.3830261230469,10933.147
331.97967529296875,10641.007000000001
332.5763244628906,10537.917000000001
333.1729431152344,10420.467
333.7695007324219,10424.507000000001
334.3660583496094,10426.507000000001
334.9625549316406,10528.457
335.5590515136719,10566.007000000001
336.155517578125,10605.807
336.751953125,10593.077000000001
337.3483581542969,10598.597000000002
337.9447326660156,10608.777
338.54107666015625,10674.647
339.13739013671875,10695.187
339.7336730957031,10747.677000000001
340.3299560546875,10661.827000000001
340.92620849609375,10513.917000000001
341.52239990234375,10443.817000000001
342.11859130859375,10527.977
342.7147216796875,10743.737000000001
343.31085205078125,10961.617
343.9069519042969,11082.637
344.50299072265625,11293.077000000001
345.09906005859375,11362.367
345.6950378417969,11439.867
346.291015625,11473.457
346.886962890625,11530.317000000001
347.48291015625,11520.307
348.07879638671875,11458.387
348.6746520996094,11447.517000000002
349.2705078125,11528.697
349.8663330078125,11472.477
350.4621276855469,11455.967
351.057861328125,11384.007000000001
351.6535949707031,11362.727
352.249267578125,11303.767000000002
352.8449401855469,11194.537
353.4405822753906,11090.217
354.03619384765625,11007.647
354.63177490234375,10952.877
355.227294921875,11051.347000000002
355.8228454589844,11150.557
356.4183349609375,11259.097000000002
357.0138244628906,11344.717
357.6092529296875,11341.717
358.2046813964844,11176.867
358.8000183105469,10966.507000000001
359.3953857421875,10720.377
359.9906921386719,10659.747000000001
360.58599853515625,10363.457
361.1812744140625,10185.607
361.7764892578125,9831.377
362.3716735839844,9546.967
362.96685791015625,9145.067000000001
363.56201171875,8697.627
364.1571350097656,8532.547
364.752197265625,8572.427000000001
365.3472900390625,8616.097000000002
365.94232177734375,8665.787
366.53729248046875,8600.867
367.13226318359375,8497.057
367.7272033691406,8346.657000000001
368.3221130371094,8116.087
368.9169921875,7995.6269999999995
369.5118713378906,7806.157
370.106689453125,7600.467
370.70147705078125,7437.617
371.2962341308594,7337.147
371.8909606933594,7194.807
372.4856872558594,7039.777
373.0803527832031,6936.3369999999995
373.67498779296875,6813.1269999999995
374.2696228027344,6790.067
374.8642578125,6772.227
375.4588317871094,6820.907
376.0533142089844,6810.677
376.6478576660156,6971.327
377.2423095703125,7098.857
377.8367614746094,7233.3369999999995
378.43115234375,7340.387
379.0255432128906,7402.8769999999995
379.6199035644531,7282.937
380.2142333984375,7252.397
380.8085021972656,7192.747
381.4028015136719,7143.397
381.9970397949219,7237.447
382.59124755859375,7176.077
383.1854248046875,7026.537
383.7795715332031,6846.907
384.3736572265625,6726.307
384.9677734375,6738.317
385.56182861328125,6980.857
386.1558532714844,7261.067
386.7498474121094,7556.677
387.3438415527344,7766.987
387.937744140625,7965.247
388.5316467285156,7857.497
389.1255187988281,7700.107
389.7193908691406,7693.857
390.313232421875,7756.267
390.906982421875,7921.456999999999
391.5007629394531,8218.457
392.094482421875,8551.417000000001
392.6882019042969,8635.797
393.2818603515625,8250.847000000002
393.87548828125,8046.807
394.4690856933594,7986.297
395.06268310546875,7848.647
395.65625,7861.206999999999
396.249755859375,8013.116999999999
396.8432312011719,8355.877
397.43670654296875,8787.767000000002
398.0301208496094,9124.717
398.6235046386719,8964.807
399.2169189453125,8519.177000000001
399.81024169921875,8328.497000000001
400.403564453125,8299.927000000001
400.996826171875,8260.877
401.590087890625,8127.237
402.1833190917969,8070.057
402.7764587402344,8016.0070000000005
403.36962890625,8026.446999999999
403.9627685546875,8057.227
404.55584716796875,8100.817
405.1489562988281,7905.106999999999
405.74200439453125,7556.237
406.3349914550781,7230.747
406.9279479980469,7180.247
407.5209045410156,7372.737
408.11383056640625,7574.197
408.7066955566406,7576.557
409.299560546875,7449.477
409.89239501953125,7242.307
410.48516845703125,6990.777
411.07794189453125,6839.017
411.670654296875,6815.367
412.26336669921875,6782.027
412.8560485839844,6587.557
413.44866943359375,6296.937
414.041259765625,6010.3369999999995
414.63385009765625,5960.137
415.22637939453125,5889.1669999999995
415.81890869140625,5976.447
416.4114074707031,6073.827
417.00384521484375,6089.987
417.5962829589844,6131.907
418.18865966796875,6172.237
418.7810363769531,6293.6669999999995
419.3733825683594,6360.206999999999
419.96563720703125,6562.177
420.55792236328125,6876.956999999999
421.1501770019531,7211.267
421.74237060546875,7013.6669999999995
422.3345642089844,6652.257
422.9267272949219,6350.247
423.51885986328125,6056.8769999999995
424.1109313964844,5820.8369999999995
424.7030029296875,5759.637
425.2950134277344,5566.907
425.8869934082031,5431.956999999999
426.47894287109375,5598.887
427.0708923339844,5815.607
427.6627502441406,5652.117
428.2546691894531,5649.327
428.84649658203125,6039.067
429.43829345703125,6442.327
430.03009033203125,6356.817
430.621826171875,5922.597
431.21356201171875,5316.227
431.8052062988281,5019.737
432.3968811035156,5011.637
432.9884948730469,5443.037
433.580078125,5628.527
434.1716003417969,5098.597
434.7631530761719,4969.367
435.3546447753906,4984.577
435.9460754394531,5036.817
436.53753662109375,4949.6669999999995
437.12890625,4773.637
437.72027587890625,4850.467
438.3116455078125,4900.687
438.9029235839844,4817.937
439.4942321777344,4721.287
440.0854187011719,4885.537
440.6766662597656,5467.137
441.267822265625,5663.557
441.8589782714844,5357.737
442.4500732421875,5312.827
443.0411682128906,5476.407
443.6322326660156,5429.6269999999995
444.2232360839844,5300.317
444.8142395019531,5196.297
445.4051818847656,5133.057
445.99609375,5204.227
446.5870056152344,5016.6269999999995
447.1778869628906,4821.037
447.7687072753906,4720.487
448.3594970703125,4783.706999999999
448.9502868652344,4858.397
449.5409851074219,4862.277
450.1317138671875,4787.737
450.722412109375,4714.407
451.3130798339844,4717.3769999999995
451.9036865234375,4665.777
452.4942626953125,4567.077
453.0848083496094,4425.007
453.6753234863281,4404.597
454.26580810546875,4474.807
454.85626220703125,4600.8769999999995
455.4466552734375,4491.827
456.03704833984375,4403.0869999999995
456.6274108886719,4587.367
457.2177429199219,4769.5869999999995
457.8080139160156,4893.747
458.39825439453125,4894.787
458.9884948730469,4953.327
459.57867431640625,4914.487
460.1688232421875,4843.3369999999995
460.75897216796875,4858.497
461.34906005859375,4481.717
461.9391174316406,4355.857
462.5291442871094,4569.847
463.119140625,4899.107
463.7091369628906,5100.687
464.299072265625,5280.3769999999995
464.88897705078125,5488.617
465.47882080078125,5385.0869999999995
466.06866455078125,4858.987
466.6584777832031,4470.317
467.2482604980469,4450.307
467.8379821777344,4364.287
