Wavelength (nm),Pixel values
175.3545684814453,320.46375
175.9578857421875,323.86375
176.56118774414062,337.36375
177.16445922851562,346.64374999999995
177.76771545410156,330.79375000000005
178.37094116210938,353.14374999999995
178.9741668701172,347.42375000000004
179.5773468017578,338.66375000000005
180.1804962158203,337.29375000000005
180.78363037109375,367.88374999999996
181.38674926757812,351.27374999999995
181.98983764648438,357.55375000000004
182.59291076660156,330.62375
183.19595336914062,357.42375000000004
183.7989501953125,342.41375000000005
184.40194702148438,353.84375
185.00494384765625,424.34375
185.60787963867188,446.48375
186.2108154296875,433.93375000000003
186.813720703125,469.77374999999995
187.4165802001953,434.73375
188.01943969726562,442.61375
188.6222686767578,421.50374999999997
189.22508239746094,421.48375
189.82785034179688,455.64374999999995
190.4306182861328,437.76374999999996
191.0333709716797,458.25374999999997
191.63607788085938,442.70375
192.23876953125,438.66375000000005
192.8414306640625,459.85375
193.44406127929688,447.29375000000005
194.04669189453125,473.12375
194.64927673339844,429.55375000000004
195.25186157226562,422.82375
195.85440063476562,438.46375
196.45692443847656,439.51374999999996
197.05941772460938,424.42375000000004
197.6619110107422,426.52374999999995
198.2643585205078,441.94375
198.86679077148438,433.67375000000004
199.4691925048828,430.81375
200.07156372070312,437.61375
200.67391967773438,441.09375
201.27626037597656,463.24375
201.87855529785156,468.63374999999996
202.4808349609375,473.65374999999995
203.08311462402344,482.49375
203.6853485107422,494.66375000000005
204.2875518798828,555.85375
204.88973999023438,551.10375
205.4918975830078,559.20375
206.0940399169922,608.32375
206.69615173339844,623.6937499999999
207.29824829101562,652.5037500000001
207.9003143310547,698.64375
208.50234985351562,756.29375
209.1043701171875,827.80375
209.70635986328125,978.7037499999999
210.308349609375,1066.36375
210.91029357910156,1198.94375
211.51220703125,1337.21375
212.11412048339844,1481.81375
212.71597290039062,1641.89375
213.3178253173828,1836.17375
213.91964721679688,2031.22375
214.52145385742188,2203.17375
215.12322998046875,2196.82375
215.7249755859375,2098.22375
216.32672119140625,1751.53375
216.9284210205078,1424.71375
217.53009033203125,1627.44375
218.13174438476562,2533.77375
218.73336791992188,3735.3637500000004
219.3349609375,4781.99375
219.93653869628906,5582.35375
220.53810119628906,6154.14375
221.13963317871094,6641.22375
221.7411346435547,7072.32375
222.34262084960938,7441.38375
222.94407653808594,7837.9037499999995
223.54551696777344,8236.61375
224.14691162109375,8701.92375
224.74830627441406,9084.57375
225.3496551513672,9525.35375
225.95098876953125,9943.55375
226.5522918701172,10389.74375
227.15359497070312,10727.75375
227.75485229492188,11111.78375
228.35609436035156,11476.99375
228.95729064941406,11839.86375
229.5584716796875,12267.84375
230.15963745117188,12665.33375
230.76077270507812,13202.00375
231.3618621826172,13637.42375
231.96295166015625,14190.33375
232.56402587890625,14643.35375
233.16505432128906,14991.96375
233.76605224609375,15372.18375
234.36703491210938,15532.47375
234.96800231933594,15645.11375
235.56893920898438,15674.58375
236.1698455810547,15529.46375
236.77073669433594,15386.21375
237.37158203125,15176.02375
237.97242736816406,14843.41375
238.5732421875,14634.80375
239.17401123046875,14265.65375
239.7747802734375,13961.53375
240.37551879882812,13636.58375
240.97622680664062,13340.87375
241.57691955566406,12958.55375
242.1775665283203,12651.97375
242.7781982421875,12425.52375
243.37881469726562,12066.10375
243.97938537597656,11770.04375
244.57994079589844,11480.38375
245.18048095703125,11175.26375
245.78097534179688,10936.63375
246.38145446777344,10770.38375
246.98190307617188,10689.53375
247.58233642578125,10702.92375
248.18275451660156,10790.03375
248.7831268310547,10975.00375
249.38348388671875,11290.69375
249.98382568359375,11629.08375
250.5841064453125,12088.92375
251.18441772460938,12617.05375
251.78466796875,13228.11375
252.3848876953125,13930.35375
252.98509216308594,14658.14375
253.5852508544922,15317.34375
254.18540954589844,16131.583750000002
254.7855224609375,16827.26375
255.38563537597656,17481.35375
255.98570251464844,18068.55375
256.5857238769531,18591.03375
257.1857604980469,19094.67375
257.7857666015625,19470.98375
258.3857116699219,19711.68375
258.98565673828125,19941.71375
259.5855712890625,19977.34375
260.18548583984375,19971.25375
260.7853698730469,19954.79375
261.3852233886719,19981.19375
261.9850158691406,20118.19375
262.5848083496094,20180.89375
263.1845703125,20456.19375
263.7843017578125,20730.96375
264.3840026855469,20950.70375
264.98370361328125,21022.23375
265.5833740234375,20666.13375
266.1829833984375,20292.65375
266.7825927734375,20005.17375
267.3821716308594,19786.03375
267.9817199707031,19598.38375
268.58123779296875,19416.33375
269.1807556152344,19226.85375
269.78021240234375,19058.71375
270.3796691894531,18965.74375
270.9790954589844,18952.47375
271.5784912109375,18895.57375
272.1778564453125,19220.06375
272.7772216796875,19477.14375
273.37652587890625,20020.41375
273.975830078125,20442.12375
274.5750732421875,20958.01375
275.17431640625,21494.84375
275.7735595703125,21957.40375
276.3727722167969,22426.86375
276.971923828125,22901.79375
277.571044921875,23205.15375
278.1701354980469,23612.28375
278.76922607421875,23881.19375
279.3682861328125,24067.23375
279.9673156738281,24367.64375
280.56634521484375,24463.92375
281.165283203125,24622.61375
281.7642517089844,24562.70375
282.3631896972656,24582.20375
282.9620666503906,24574.03375
283.5609436035156,24519.27375
284.1597900390625,24431.08375
284.7586364746094,24378.32375
285.357421875,24350.50375
285.9562072753906,24138.07375
286.5549011230469,23835.00375
287.1536560058594,23309.04375
287.7523193359375,22654.89375
288.3509521484375,21848.97375
288.9495849609375,21162.42375
289.5481872558594,20904.81375
290.14678955078125,21221.75375
290.7453308105469,21770.23375
291.3438415527344,22032.38375
291.9423522949219,22238.66375
292.5408020019531,22082.72375
293.1392822265625,21823.34375
293.7377014160156,21528.65375
294.3360595703125,21104.54375
294.9344482421875,20835.48375
295.5327453613281,20369.30375
296.1310729980469,19795.36375
296.7293701171875,18950.63375
297.3276062011719,18173.34375
297.9258117675781,18425.73375
298.5240173339844,19299.19375
299.1222229003906,20010.19375
299.7203369140625,20454.78375
300.3185119628906,20614.40375
300.9165954589844,20788.36375
301.5146484375,20960.15375
302.1127014160156,21231.96375
302.710693359375,21268.22375
303.3086853027344,21496.16375
303.9066467285156,21676.21375
304.50457763671875,21593.79375
305.10247802734375,21622.49375
305.7003479003906,21730.61375
306.2982177734375,21630.94375
306.8960266113281,21535.43375
307.4938049316406,21336.14375
308.09161376953125,21139.34375
308.6893615722656,20847.67375
309.28704833984375,20614.36375
309.8847351074219,20209.45375
310.482421875,20092.72375
311.0800476074219,20049.25375
311.6776428222656,20300.96375
312.27520751953125,20479.67375
312.87274169921875,20718.55375
313.47027587890625,20657.75375
314.0677795410156,20588.25375
314.66522216796875,20503.51375
315.2626647949219,20128.58375
315.8600769042969,19801.02375
316.45745849609375,19450.39375
317.0548095703125,19145.15375
317.6521301269531,19148.53375
318.24945068359375,19142.95375
318.8467102050781,19267.26375
319.4439697265625,19473.69375
320.0411682128906,19388.16375
320.63836669921875,19303.33375
321.2355041503906,19232.78375
321.8326416015625,19026.86375
322.42974853515625,18827.98375
323.0268249511719,18659.75375
323.6238708496094,18532.51375
324.22088623046875,18112.77375
324.81787109375,17975.27375
325.41485595703125,17616.27375
326.0118103027344,17269.10375
326.6087341308594,16985.85375
327.20562744140625,16632.94375
327.8024597167969,16310.54375
328.3992919921875,16039.29375
328.99609375,15739.79375
329.5928649902344,15403.88375
330.1896057128906,15087.43375
330.78631591796875,14790.79375
331.3830261230469,14429.68375
